ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
asi_petepete_komana,tio,asi petepete komana,vi.constr,petepete,burn-RED-in.addition by.oneself,vi -adv - adv,,asi pete-pete,
asi_vabarabarana,tio,asi vabarabarana,vi.constr,vabarabarana,burn ADVR-RED-soft.wood,vi - adv,,asi va-bara-barana,
asi_vatakaha,tio,asi vatakaha,vi.constr,takaha_1 ; vatakaha,burn ADVR-dawn,vi - adv,,asi va-takaha,
asiasi_manoto,tio,asiasi manoto,vi.constr,manoto,RED-burn mature,vi - adj,,asi-asi manoto,
asiasi_pii,tio,asiasi pii,vi.constr,,RED-burn sore,vi - vi,,asi-asi pii,
asiasi_vamataa,tio,asiasi vamataa,vi.constr,inimoo ; poosusu_1 ; vaahii_1,RED-burn ADVR-good,vi - adv,,asi-asi va-mataa,
asiasiriva,tio,asiasiriva,vi,siraviki,,,,,
asiata,tio,asiata,n2,ahiahi ; pasuaromo,,,,,
asimuru,tio,asimuru,n2,,,,,,
asita_1,tio,asita,n3,asita_2,,,,,
asita_2,tio,asita,n2,panapanaa,,,,,
asita_3,tio,asita,n3,panapanaa,,,,,
asita_4,tio,asita,vt,asita_3 ; panapanaa,,,,,
asuasun,tio,asuasun,vt,asun,RED-kill,,,asu-asun,
asuasun_aba,tio,asuasun aba,n2.constr,asuasun_aba_ni ; asun,RED-kill person,vt - n,,asu-asun aba,
asuasun_aba_ni,tio,asuasun aba ni,vt.constr,pakoo_2,RED-kill person APPL,vt - n - appl,,asu-asun aba ni,
asuasun_vamate_aba,tio,asuasun vamate aba,vi.constr,vamate,RED-hit ADVR-dead person,vt - adv - n,,asu-asun va-mate aba,
asun,tio,asun,vt/vd,popoura_1 ; torovaatahii,,,,,
asun_aba_ni,tio,asun aba ni,vt.constr,,kill person APPL,vt/vd - n - appl,,asun aba ni,
asun_vamate,tio,asun vamate,vt.constr,ketaa,hit ADVR-dead,vt - adv,,asun va-mate,
atai,tio,atai,adv,sua_2,,,,,
ate,tio,ate,n2/n3,humhum_1 ; komane,,,,,
ateate,tio,ateate,n2,,,,,,
ato_1,tio,ato,vt,haopi ; iobo,,,,,
ato_2,tio,ato,n2,buaku ; peha_1,,,,,
ato_3,tio,ato,n2,kitokitoi,,,,,
ato_a_kiu,tio,ato a kiu,vt.constr,kiu_2,hold ART2.SG work,vt - NP,,ato a kiu,
ato_ni,tio,ato ni,vt.constr,sunuu_1,hold APPL,vt - appl,,ato ni,
ato_vakikis_ni,tio,ato vakikis ni,vt.constr,kikimoto ; varuvaru_1,hold ADVR-strong APPL,vt - adv - appl,,ato va-kikis ni,
ato_vamasuu_ni,tio,ato vamasuu ni,vt.constr,kave_goroto ; roravita,hold CAUS-steady APPL,vt - vt - appl,,ato va-masuu ni,
atoa,tio,atoa,n2,,,,,,
atoato,tio,atoato,vt,ato_1 ; esuu ; metaono,RED-hold,,,ato-ato,
atoato_ni,tio,atoato ni,vt.constr,ato_1,RED-hold APPL,vt - appl,,ato-ato ni,
atono,tio,atono,vt,,,,,,
atono_ni,tio,atono ni,vt.constr,,leave.behind APPL,vt - appl,,atono ni,
atovo_1,tio,atovo,n3,kosi_2 ; tagava_1,,,,,
atovo_2,tio,atovo,n2/n3,gaasuu ; inu_atovo ; pisi_atovo,,,,,
atovo_3,tio,atovo,n2,,,,,,
aun,tio,aun,vi,sugusuguna ; tagihu,,,,,
aun_kahi,tio,aun kahi,vt.constr,aun ; opin ; vaaopin,leave from,vi - prep,,aun kahi,
aun_pete_vo,tio,aun pete vo,vi.constr,,leave continuing GOAL,vi - adv - prep,aun,aun pete vo,
aun_tagihu,tio,aun tagihu,vi.constr,,leave go.into.the.jungle,vi - vi,,aun tagihi,
aun_vaha_maa,tio,aun vaha maa,vi.constr,,leave back hither,vi - adv - adv,,aun vaha maa,
ausu,tio,ausu,vt,haihai_1,,,,,
avaava_1,tio,avaava,n3,goroto ; hopo_2 ; kuroii ; urita,,,,,
avaava_2,tio,avaava,vt,kamanam ; raen_ni,RED-feel.with.hands,,,ava-ava,
avaha,tio,avaha,vi,biae ; kehaa ; poha_1 ; poha_2,,,,,
avameam,tio,avameam,clitic constr,LX000003 ; ameam ; u_2,OBJM=IMM= 2PL.OBJM=2PL.PRON,object marker = tam = pron,,a=v=ame=am,
avana,tio,avana,n2,vuhun,,,,,
avanaa,tio,avanaa,clitic constr,LX000003 ; anaa ; u_2,OBJM=IMM=OBJM=1SG.PRON,object marker = tam = pron,,a=v=a=naa,avuanaa
avanam,tio,avanam,clitic constr,anam ; avameam ; nam ; pidaa,OBJM=IMM=OBJM=1PL.EX.PRON,object marker = tam = pron,,a=v=a=nam,
aveavete,tio,aveavete,vt,,RED-collect,,,ave-avete,
averu,tio,averu,n3,apaapa ; tavekoto,,,,,
avete,tio,avete,vt,kokobusu ; suvasuva,,,,,
avete_vo,tio,avete vo,vt.constr,,collect GOAL,vt - prep,,avete vo,
aviavisi_vabero_ki,tio,aviavisi vabero ki,vd.constr,vabero,RED-serve.food ADVR-much DAT,vt - adv - prep,,avi-avisi va-bero ki,
avisi_1,tio,avisi,n3,avisi_2,,,,,
avisi_2,tio,avisi,vt,huu_butara,,,,,
avisi_kahi,tio,avisi kahi,vt.constr,avisi_1,get.food.with.a.stick from,vt - prep,,avisi kahi,
avisi_ki,tio,avisi ki,vd.constr,avisi_2,poke.food DAT,vt - prep,,avisi ki,
avisi_ni,tio,avisi ni,vt.constr,avisi_2,poke.food APPL,vt - appl,,avisi ni,
avisi_vakunio_ni,tio,avisi vakunio ni,vt.constr,,poke.food CAUS-cool APPL,vt - adv,,avisi va-kunio ni,
avu,tio,avu,n3,avuavuana ; pipiuvu_kahi ; vaavuavuana,,,,,
avuanaa,tio,avuanaa,clitic constr,avanaa,OBJM=IMM=OBJM=1SG.PRON,object marker = tam = pron,,a=vu=a=naa,avanaa
avuaraara,tio,avuaraara,clitic constr,kavuaraara,OBJM=IMM=1PL.IN.OBJM=1PL.IN.PRON,object marker = tam = object marker = pton,,a=vu=ara=ara,
avuavuana,tio,avuavuana,adj,vaavuavuana,RED-dust-ADJR,,avu,avu-avu-ana,
avuavuhu_1,tio,avuavuhu,adj,apesuu,RED-smell,,,avu-avuhu,
avuavuhu_2,tio,avuavuhu,n3,avuhu_1,RED-smell,,,avu-avuhu,
avuavuhu_hata,tio,avuavuhu hata,adj.constr,avuhu_2 ; avuhu_hata ; hata_1,RED-smell bad,n - adj,,avu-avuhu hata,
avuavuhuhata,tio,avuavuhuhata,n2,avuhu_3,RED-smell-bad,,,avu-avuhu-hata,
avue,tio,avue,n1,,,,,,
avuhu_1,tio,avuhu,vi,vaanomo,,,,,
avuhu_2,tio,avuhu,vt,agomo ; avuhu_1 ; beana_1,,,,,
avuhu_3,tio,avuhu,n2,buhiana ; ukee,,,,,
avuhu_ahe,tio,avuhu ahe,vt.constr,ahe_2 ; tovasuae,smell recognising,vt - adv,,avuhu ahe,
avuhu_buhiana,tio,avuhu buhiana,adj.constr,avuhu_1 ; avuhu_ukee ; evo ; ukee,smell smell.of.raw.fish,n - vi,,avuhu buhiana,
avuhu_hata,tio,avuhu hata,adj.constr,avuavuhu_hata,smell bad,n - adj,,avuhu hata,
avuhu_mataa,tio,avuhu mataa,adj.constr,avuhu_3,,n - adj,,,
avuhu_ukee,tio,avuhu ukee,adj.constr,avuhu_2,smell smell.of.cooked.fish,n - vi,,avuhu ukee,
avuin_1,tio,avuin,n3,aha ; ahaaha ; huu_nibusu ; rivuhu,,,,,
avuin_2,tio,avuin,vt,vaasipoana_1,,,,,
avuisi,tio,avuisi,n3,banabana,,,,,
avuisi_huuhuu_kaukau,tio,avuisi huuhuu kaukau,n2.constr,avisi_1,ant.plant.stick RED-prick sweet.potato,n - vt - n,,avuisi huu-huu kaukau,
LX000003,tio,a=,object marker,anaa ; anam ; anom ; ka ; kamaraara,OBJM,,,a=,=a
ba,tio,ba,n2,maa_2 ; sinariori ; tamariori ; tom,KIN.PLM,,,ba,
ba_keara,tio,ba keara,n2.constr,,KIN.PLM sibling.of.the.same.sex,n - n,,ba keara,
ba_sinariori,tio,ba sinariori,n2.constr,sinariori,KIN.PLM mother-3PL.POSS=3PL.PRON,n - n,,ba sina-ri-ori,
ba_suburaara,tio,ba suburaara,n2.constr,ba,KIN.PLM grandparent/child-1PL.IN.POSSM-1PL.IN.PRON,n - n,,ba subu-ra-ara,
baaban,tio,baaban,n2,kukusovere ; rahirahi_3,,,,,
baanun,tio,baanun,n2,vaakasi_1,,,,,
baara_1,tio,baara,n2,pihae ; toho_3,,,,,
baara_2,tio,baara,interjection,,,,,,
baas,tio,baas,n3,,,,,,baasi
babaaru_1,tio,babaaru,adj,,,,,,
babaaru_2,tio,babaaru,n2,,,,,,
